Electronegativity,IonicRadius,AtomicNumber,BandGap
1.272,2.202,56,3.457
3.659,1.072,9,2.861
0.965,1.781,70,3.856
2.431,1.128,28,3.198
2.054,2.416,45,3.434
3.942,0.567,26,2.138
1.07,1.66,28,3.852
2.013,0.833,40,3.03
3.899,1.924,15,3.048
3.556,0.852,6,2.358
3.396,0.971,27,2.656
1.551,1.489,38,3.591
1.264,2.33,68,3.586
2.907,0.923,75,2.321
3.767,0.788,64,2.043
2.537,2.018,30,3.056
2.586,1.501,82,2.731
1.624,2.324,3,4.0
3.239,0.793,62,2.009
1.317,1.792,12,4.0
1.768,0.966,30,3.159
2.104,0.814,38,2.968
2.375,1.867,60,3.513
1.5,1.687,38,3.967
1.079,2.01,15,3.7
2.715,1.119,18,2.79
1.652,1.396,52,3.015
2.618,1.311,29,3.493
1.209,2.468,60,3.545
2.288,1.084,21,2.872
2.458,1.09,17,3.522
0.871,1.209,18,4.0
1.811,1.629,57,3.797
1.144,1.005,37,3.662
0.909,2.331,60,3.768
3.967,1.031,38,2.446
1.764,2.292,12,3.789
3.373,0.707,75,2.479
1.54,1.813,73,3.577
2.949,2.314,1,3.149
3.209,0.837,58,2.663
2.666,2.437,3,3.407
2.256,1.406,63,3.533
2.059,2.391,21,4.0
1.851,1.854,23,3.341
3.767,1.103,9,2.834
3.441,0.877,83,2.345
3.885,1.107,55,2.112
1.11,0.686,19,3.27
3.112,0.788,62,2.437
3.797,0.709,39,2.304
1.298,1.346,76,2.936
0.919,2.091,27,4.0
3.146,0.783,46,2.234
2.596,0.761,34,2.863
3.478,1.787,33,2.9
1.161,0.894,50,3.421
3.324,0.695,20,3.001
1.365,0.834,40,3.284
1.24,2.347,58,3.017
1.242,2.143,31,3.779
3.388,1.208,38,2.849
2.895,1.812,45,2.939
2.426,1.575,41,3.098
1.884,1.854,9,3.884
3.595,1.865,9,3.236
1.995,1.757,63,2.693
3.395,1.032,79,2.197
2.149,0.578,77,2.535
1.944,1.411,22,3.485
2.227,2.282,16,3.181
1.695,1.639,32,3.865
3.167,2.165,66,2.764
2.359,2.483,14,3.808
1.466,0.827,38,3.763
3.669,1.884,8,3.166
1.967,1.849,21,3.213
2.494,2.46,56,3.199
3.691,2.471,46,3.014
2.76,1.873,43,3.082
1.086,0.987,46,3.869
3.801,2.097,48,2.455
2.771,0.714,70,2.757
1.805,2.061,31,3.836
1.16,2.32,33,3.964
3.32,1.266,44,2.734
2.746,1.761,71,2.515
2.46,1.36,8,3.307
3.65,1.376,73,2.407
3.302,1.121,2,2.998
1.201,2.024,17,4.0
1.729,2.372,52,3.788
1.52,2.382,45,3.22
3.155,0.85,37,2.755
0.811,2.249,42,4.0
2.581,1.975,44,3.066
3.216,1.006,81,1.934
3.593,0.635,38,2.316
1.829,1.036,6,3.18
3.41,2.324,68,2.75
1.065,1.766,51,3.615
3.493,1.942,35,2.955
1.121,1.014,58,3.283
2.011,1.939,57,3.296
3.331,0.556,73,2.257
1.195,1.251,6,3.578
1.457,1.754,13,3.94
3.083,0.792,59,2.816
3.076,2.146,30,2.913
2.816,0.97,2,3.262
2.99,1.805,58,3.129
2.491,1.31,36,2.788
1.531,1.692,72,3.415
1.841,0.715,45,3.013
1.299,0.534,9,3.843
3.698,2.319,65,2.4
2.625,1.039,77,2.529
2.023,2.139,50,2.993
2.225,2.499,79,3.219
3.826,0.923,32,2.579
1.206,1.03,43,3.572
2.635,1.826,78,2.877
2.369,2.431,54,3.259
2.718,2.332,47,2.813
0.76,1.506,14,4.0
3.578,2.09,48,2.746
3.776,0.771,55,2.309
2.565,2.455,29,3.414
2.999,2.429,47,3.589
3.744,0.827,63,2.019
3.034,1.099,19,2.815
1.203,0.7,9,3.288
2.602,1.043,37,2.971
2.702,2.132,52,3.543
2.1,1.257,57,3.038
3.13,0.677,28,2.768
3.783,1.184,36,2.765
3.754,2.463,64,2.678
2.188,1.759,18,3.813
1.074,1.332,35,3.997
3.95,0.833,68,1.882
3.468,2.472,78,2.257
1.111,2.142,39,4.0
3.739,1.063,8,2.864
3.571,0.64,80,1.742
2.412,0.613,15,2.94
2.651,0.741,7,2.961
2.017,1.662,17,3.599
0.881,2.358,64,4.0
1.806,1.493,12,3.909
3.349,2.186,82,2.734
0.715,1.392,56,3.538
1.801,1.917,46,3.99
2.014,1.964,47,3.362
2.473,0.848,79,2.418
3.736,1.222,16,2.411
1.843,1.775,69,3.058
1.845,0.641,2,3.584
3.134,1.223,54,2.217
2.192,1.57,27,3.125
1.441,2.492,31,3.784
2.193,1.449,41,2.994
1.165,2.132,36,3.639
1.282,1.364,47,3.748
2.345,2.093,43,2.887
2.082,1.691,65,3.108
3.719,2.273,50,2.864
1.896,1.322,1,3.547
2.616,1.709,72,2.729
2.786,1.76,57,2.873
0.743,1.335,16,4.0
2.89,0.789,28,3.223
1.288,0.687,82,2.59
3.872,0.533,22,2.202
1.191,2.247,41,3.611
2.068,0.973,76,2.741
0.982,0.923,19,3.634
3.99,1.972,50,2.702
2.357,1.14,59,2.685
2.665,1.512,69,2.516
0.921,0.825,34,3.388
3.175,2.419,39,3.135
1.393,2.203,74,3.645
3.664,2.228,7,3.162
1.377,1.314,52,3.224
1.329,2.025,60,3.258
0.821,0.788,52,3.793
2.258,0.517,79,2.062
2.564,0.54,24,2.89
0.917,1.673,26,4.0
3.259,1.411,10,3.01
2.196,1.536,17,3.311
2.43,0.515,78,2.576
2.155,1.345,2,3.288
2.023,1.936,77,2.607
2.547,1.385,27,3.255
1.212,1.964,73,3.166
1.3,0.966,71,3.133
3.544,2.126,48,2.75
3.822,1.677,74,2.339
1.932,0.922,9,3.397
1.593,0.973,23,3.603
2.825,1.756,71,2.551
2.049,2.16,73,3.334
0.784,1.331,27,3.551
1.215,1.017,81,3.342
3.063,2.234,71,3.288
2.874,1.839,43,3.039
0.789,1.396,7,4.0
1.433,1.476,83,3.537
1.463,0.909,63,3.017
2.917,1.754,44,2.971
0.765,1.217,39,3.506
1.044,2.491,40,3.783
3.34,1.46,7,3.13
1.289,1.472,70,2.857
2.854,1.632,25,3.347
1.486,2.334,59,3.597
1.028,2.102,13,4.0
1.502,1.402,81,3.004
3.083,1.937,62,2.936
3.524,1.672,8,3.114
3.44,1.485,45,2.786
2.011,0.885,18,3.547
2.905,1.428,60,2.39
1.376,0.992,60,3.011
1.667,2.33,2,4.0
3.658,1.171,66,2.32
0.743,2.405,14,3.895
0.982,1.566,48,3.209
1.386,1.763,56,3.436
0.788,1.586,12,3.95
1.299,0.759,55,2.997
2.624,1.252,28,3.534
2.091,0.698,4,3.281
3.646,1.746,36,2.951
3.398,1.394,50,2.662
1.828,2.056,3,3.822
1.556,0.941,1,3.404
1.953,0.829,17,3.53
2.648,1.313,71,2.079
1.585,2.353,62,3.71
2.76,1.921,48,3.07
2.051,1.338,62,3.156
2.522,1.535,69,2.804
2.139,0.668,19,2.886
1.672,2.469,34,3.872
3.83,1.833,49,2.78
3.22,1.071,80,2.153
1.162,1.672,47,3.771
3.566,0.719,50,2.403
2.309,2.432,26,3.699
3.652,0.85,56,2.059
3.34,1.796,78,2.784
2.103,0.991,14,3.43
0.774,1.935,78,3.739
1.587,2.054,25,3.674
2.487,1.847,4,3.805
2.79,1.729,79,2.547
1.551,2.285,32,3.562
1.16,0.657,82,3.396
3.455,1.162,78,1.633
3.949,0.997,65,2.857
2.435,2.476,61,3.374
1.267,1.279,20,3.638
1.599,1.965,74,3.332
0.761,1.869,10,4.0
3.717,0.924,34,2.407
1.089,0.978,61,3.797
2.603,1.063,27,3.417
1.604,1.322,40,4.0
2.529,0.969,65,2.364
2.85,0.539,33,2.786
3.438,2.259,68,2.316
1.381,2.431,71,3.234
0.736,1.183,9,3.929
1.152,1.177,16,3.695
3.67,0.514,5,2.769
3.584,1.861,23,2.907
2.671,2.151,43,3.387
2.682,0.793,57,2.715
2.895,0.819,51,3.03
1.279,2.08,13,4.0
3.718,1.733,24,2.538
2.082,0.59,11,3.238
1.964,1.745,52,3.238
2.412,1.118,17,3.35
0.855,1.237,37,3.968
1.249,2.039,13,4.0
3.136,2.122,62,2.947
0.973,1.301,8,3.677
2.69,2.394,56,3.007
1.51,1.313,83,2.522
1.985,2.044,70,3.27
1.653,1.468,44,3.59
1.874,2.295,60,3.049
3.073,2.316,41,3.135
1.681,0.675,21,3.335
2.569,2.373,42,3.726
2.271,2.151,74,2.813
2.89,2.083,74,2.998
3.792,0.902,29,2.79
3.117,2.11,80,2.577
1.409,2.2,65,3.559
0.803,1.078,17,4.0
1.565,2.405,30,3.56
2.664,0.6,26,2.788
0.87,0.8,53,3.449
2.338,1.575,19,3.903
2.67,1.652,53,2.838
1.803,1.79,17,3.619
3.244,0.534,46,2.829
1.052,2.421,53,3.981
0.948,0.589,64,3.743
3.103,0.786,45,2.858
2.335,0.528,49,2.738
2.972,1.634,19,3.079
2.135,2.365,71,2.979
1.513,1.832,81,2.848
3.403,2.145,65,2.758
3.338,0.527,37,2.649
2.992,1.584,70,2.805
1.598,1.419,26,3.536
2.648,1.498,2,3.893
1.891,0.644,59,2.547
1.002,1.869,5,3.782
