Electronegativity,IonicRadius,AtomicNumber,BandGap
2.7,2.211,69,3.033
3.564,1.577,78,2.302
2.69,0.807,75,2.604
2.061,2.158,50,3.444
1.935,0.967,35,3.052
2.105,2.021,36,3.579
2.851,1.574,4,3.442
3.563,1.53,23,2.843
2.198,1.57,19,3.332
1.518,2.451,29,4.0
1.481,1.669,67,3.201
3.162,0.588,28,2.696
3.395,2.412,61,2.634
1.047,1.063,24,3.501
0.92,1.44,26,4.0
2.662,2.146,13,3.678
1.182,0.669,35,3.576
3.421,0.965,14,2.879
1.724,2.254,57,3.22
1.175,0.734,46,3.377
3.739,1.533,16,2.92
1.246,0.872,58,3.209
1.64,1.208,72,3.127
1.207,2.081,2,4.0
1.081,2.418,17,4.0
0.77,1.648,30,3.921
0.883,1.224,21,3.649
1.276,0.66,24,3.552
0.876,1.303,81,3.223
2.651,2.128,49,3.138
2.946,2.013,18,3.149
1.999,1.213,58,2.922
1.749,0.84,74,2.481
2.365,1.587,61,2.962
3.588,2.164,64,2.576
3.509,1.625,47,2.693
0.843,1.583,43,3.705
1.299,1.913,27,3.877
1.481,0.759,3,3.87
1.523,1.737,78,3.029
2.585,0.656,43,2.893
2.074,0.819,25,3.046
0.863,0.603,25,3.532
1.933,1.728,37,3.371
2.428,2.428,38,3.504
1.036,0.797,55,3.109
3.45,1.441,56,2.35
0.871,2.288,54,3.79
3.752,2.2,27,2.457
1.027,1.346,44,3.708
3.484,1.989,13,3.198
3.679,0.586,21,2.547
3.933,2.013,19,2.984
3.347,1.951,79,2.225
3.272,1.666,29,3.032
2.82,0.729,30,2.93
3.271,1.092,31,2.483
1.144,0.843,59,3.244
2.469,0.618,48,2.708
2.397,2.298,34,3.1
3.53,0.863,70,2.186
2.227,0.913,16,3.321
1.971,1.902,23,3.223
2.811,1.144,17,3.17
1.579,1.31,29,3.658
1.161,0.613,24,3.3
2.277,2.354,57,3.018
2.076,2.493,10,3.959
1.467,1.237,6,3.656
1.913,0.931,54,3.182
1.909,1.912,17,3.64
1.781,2.015,75,2.962
1.952,0.807,54,2.775
2.963,1.474,52,3.091
1.68,0.891,38,2.976
3.831,0.967,65,2.127
3.724,1.488,54,2.348
2.287,1.299,36,2.839
1.784,1.45,77,3.068
2.467,1.269,24,3.041
3.5,0.646,56,2.396
2.854,0.652,17,2.91
3.354,1.024,10,2.999
2.458,1.546,53,2.637
2.789,0.926,4,3.101
1.651,1.751,2,3.972
3.125,2.023,43,2.88
1.368,2.284,11,3.958
2.993,2.387,68,2.695
3.54,1.23,66,2.334
1.136,2.386,31,3.762
2.727,2.251,67,2.904
1.014,1.131,80,3.02
3.095,1.24,58,2.774
0.979,0.836,20,3.802
3.789,2.238,21,2.804
1.153,1.559,72,3.673
3.864,0.912,37,2.472
3.343,2.119,21,3.165
2.659,2.201,12,3.707
3.283,1.779,53,2.81
3.324,1.289,51,2.479
3.822,0.94,42,2.147
1.536,2.033,45,2.992
2.647,2.041,44,3.459
1.014,1.522,73,3.375
2.733,1.985,15,3.421
1.265,0.9,64,3.246
2.564,1.559,39,3.0
2.589,1.15,23,3.189
2.238,2.483,44,3.209
2.425,1.349,6,3.416
3.221,0.911,34,2.824
3.338,0.892,40,2.455
2.324,2.491,23,4.0
2.679,2.498,58,2.916
3.773,2.099,54,2.725
1.095,1.461,32,3.682
1.086,1.832,64,3.705
0.989,1.904,83,3.322
2.871,0.761,34,2.647
2.081,0.788,50,3.088
3.255,1.288,33,2.685
2.915,1.25,78,2.627
1.801,1.436,3,3.487
3.665,1.105,75,2.094
3.216,1.736,82,2.342
1.593,2.01,44,3.317
1.902,2.243,13,3.581
1.738,1.319,76,3.215
1.22,1.084,7,4.0
1.188,0.8,41,3.093
3.789,1.62,48,2.75
2.145,0.576,67,2.777
1.965,2.215,63,3.276
3.108,1.454,45,2.581
2.525,1.718,30,3.404
3.789,1.3,69,1.985
3.275,0.507,74,2.165
2.282,2.078,59,3.034
1.942,1.448,82,2.85
3.956,1.313,30,2.788
3.069,2.018,64,2.484
3.839,1.195,26,2.423
1.091,1.795,60,3.451
3.507,1.951,65,2.753
2.802,2.465,76,2.989
1.102,2.037,80,3.665
2.641,0.547,56,2.642
2.964,1.75,33,3.101
0.741,1.732,4,4.0
2.199,0.747,72,2.251
3.424,2.0,82,2.723
1.675,1.25,48,3.302
2.213,1.748,55,3.113
2.16,1.037,75,2.63
1.696,0.854,49,3.37
3.731,1.292,79,1.959
3.278,0.913,5,2.781
1.065,2.474,68,3.568
3.99,1.954,14,2.983
3.601,0.575,11,2.65
1.637,1.269,60,3.263
3.462,2.326,43,3.051
1.051,1.691,10,3.94
3.997,1.47,78,2.344
2.897,1.574,37,2.787
2.845,1.108,48,2.704
0.998,1.277,32,3.671
3.66,0.894,9,2.899
0.796,1.921,43,4.0
1.495,0.973,51,3.108
1.172,1.35,2,3.955
3.263,2.354,78,2.522
1.354,1.312,74,3.103
3.705,1.174,40,2.614
2.866,1.345,13,3.249
0.819,0.998,72,3.321
0.718,1.965,50,3.708
0.87,1.857,2,4.0
2.7,1.005,2,3.167
3.345,1.34,53,2.615
1.487,1.564,75,3.086
3.503,2.235,82,2.412
0.889,1.171,77,3.17
3.343,1.656,12,3.114
3.762,2.38,13,3.01
3.248,1.022,44,2.448
3.004,1.957,71,2.854
3.465,1.81,9,2.975
0.832,0.799,14,3.69
1.366,2.469,35,3.727
1.112,2.065,83,3.351
2.365,1.357,62,2.935
3.159,1.62,43,2.772
2.779,1.222,72,2.677
3.509,1.024,48,2.438
1.212,2.292,73,3.528
3.124,1.67,42,3.086
1.337,1.239,66,3.144
1.594,2.203,60,3.484
3.043,1.385,72,2.733
3.935,0.87,18,2.461
2.718,0.805,39,2.593
0.88,2.382,44,3.909
2.734,1.265,66,2.754
0.84,1.291,7,4.0
3.618,1.575,66,2.415
3.042,1.653,21,3.119
1.271,1.364,49,3.379
1.003,2.372,8,4.0
1.306,1.162,3,3.822
3.934,0.726,81,1.819
2.213,2.491,23,3.852
3.287,0.939,14,2.984
2.8,2.389,42,3.057
2.589,2.191,33,3.187
1.179,2.055,58,3.499
3.822,0.766,4,3.128
1.694,0.57,7,3.132
2.607,0.842,16,3.475
3.009,1.303,30,2.895
2.842,2.084,16,3.228
3.804,1.285,28,2.842
1.19,0.563,23,3.444
2.378,0.643,12,3.443
2.033,1.421,77,2.881
2.265,0.557,38,2.99
1.093,2.011,58,3.6
1.143,0.99,63,3.483
1.618,1.474,78,2.952
1.706,2.085,83,3.091
2.112,1.605,3,3.604
2.716,2.266,69,2.938
2.794,2.194,83,3.022
2.059,0.847,71,2.887
2.049,0.545,66,2.721
1.418,2.229,31,3.762
2.641,1.812,1,3.336
1.746,2.338,67,3.348
0.819,0.666,77,3.257
2.081,2.474,56,3.283
2.265,2.469,31,3.394
1.444,1.036,28,3.615
2.589,0.617,66,2.705
2.567,1.244,33,2.897
3.017,1.369,47,2.678
2.838,1.038,66,2.795
2.853,0.608,77,2.259
1.744,2.234,18,3.903
3.299,0.923,27,2.606
2.512,2.246,62,3.05
2.124,1.017,11,3.781
2.766,2.2,44,2.924
1.89,1.066,66,2.809
2.392,0.702,15,2.958
3.131,2.145,63,2.887
3.625,1.055,35,2.274
3.739,1.118,80,2.384
2.362,1.316,53,2.938
2.417,1.712,32,3.114
3.34,1.772,45,2.967
1.738,0.652,3,3.463
3.463,2.406,1,3.559
2.331,0.604,65,2.695
1.082,2.172,69,3.487
0.938,1.931,31,3.977
3.479,1.079,61,2.517
0.883,1.694,40,3.782
1.626,1.599,25,3.475
1.803,1.834,74,3.422
1.271,1.975,50,3.58
1.736,1.53,82,2.897
3.151,1.932,55,2.974
0.748,0.896,32,3.76
3.43,1.885,18,3.154
3.527,1.355,41,2.575
1.928,2.382,47,3.306
1.207,2.211,77,3.512
2.683,0.503,10,2.979
1.095,2.021,8,4.0
1.904,1.705,53,3.491
3.863,1.928,55,2.762
3.985,1.017,72,1.924
3.248,2.097,27,3.308
1.726,0.781,8,3.659
2.969,2.298,13,3.368
3.028,1.369,78,2.678
1.98,0.713,39,2.996
2.815,1.901,14,3.341
0.735,1.274,9,4.0
1.39,1.009,39,3.289
2.433,1.838,76,2.706
1.24,1.167,27,3.676
1.247,0.934,42,3.329
3.46,1.706,13,3.124
3.964,1.201,8,2.713
2.535,0.606,32,2.593
3.469,0.954,18,2.724
3.968,1.402,32,2.737
1.167,1.649,80,3.256
2.179,1.473,81,2.781
1.995,2.338,67,3.124
0.964,1.183,48,3.655
3.193,2.235,74,2.488
2.131,1.457,25,3.343
2.249,1.863,37,3.583
1.197,1.58,8,3.786
1.297,0.718,63,3.207
3.693,1.345,60,2.364
0.847,1.85,14,3.849
1.468,1.052,79,3.131
1.664,1.16,55,2.873
2.318,1.902,4,3.606
2.635,1.967,53,3.428
2.328,1.573,82,2.769
0.978,1.973,18,3.777
1.504,2.184,5,3.896
3.484,1.518,15,3.087
2.804,1.891,39,3.087
2.842,0.525,18,2.719
2.912,0.559,64,2.4
3.218,1.705,53,2.748
0.892,1.771,82,3.522
1.91,1.088,29,3.235
2.48,1.735,7,3.505
1.817,0.703,37,3.006
3.487,2.039,72,2.648
2.292,1.206,75,2.597
3.236,1.643,30,2.911
3.512,2.458,10,3.148
2.366,1.533,74,2.934
3.702,1.553,75,2.376
2.638,0.706,82,2.461
3.506,0.589,36,2.765
1.824,2.345,38,3.711
2.346,2.233,73,3.145
2.454,2.121,78,3.043
1.046,2.488,72,3.561
2.015,0.694,43,2.977
3.727,2.031,67,2.487
2.782,0.724,31,2.616
1.286,1.77,41,3.407
1.818,1.936,32,3.575
1.332,1.887,43,3.792
0.782,1.03,14,3.816
3.761,2.267,9,2.896
2.179,1.632,54,2.96
1.715,2.327,16,3.586
2.675,1.389,35,3.296
0.724,1.186,39,3.664
1.617,2.297,44,3.674
3.02,2.131,30,3.318
2.791,0.672,82,2.268
3.94,1.377,64,2.254
2.747,0.651,48,2.677
2.276,2.24,1,3.897
3.213,1.457,32,2.905
3.681,1.023,8,2.862
3.078,0.641,46,2.476
3.879,1.086,35,2.374
3.281,1.229,57,2.64
3.56,2.441,34,3.06
1.077,2.48,57,3.664
3.117,1.426,4,3.12
2.152,2.328,26,3.625
2.525,2.097,69,2.863
2.859,2.039,22,3.132
3.9,1.038,13,2.42
3.949,1.985,51,2.678
1.651,2.482,72,3.336
3.121,2.18,71,2.674
3.175,1.584,36,2.925
1.843,0.502,8,3.364
1.109,1.254,62,3.194
0.835,1.808,32,3.832
3.265,0.777,66,2.427
2.316,1.311,24,3.268
3.952,1.921,5,3.133
2.234,2.283,51,3.399
3.927,1.903,81,2.336
2.058,1.721,66,2.834
3.319,0.952,5,3.199
0.98,1.842,55,3.642
2.533,2.177,80,2.986
3.347,1.376,18,3.178
3.752,2.278,66,2.629
3.415,1.178,53,2.247
0.822,1.765,51,3.402
1.93,2.182,64,3.024
0.861,2.276,49,3.665
1.061,1.437,31,3.874
2.929,1.421,28,3.114
3.054,2.391,46,3.115
3.253,1.433,60,2.563
3.556,0.507,11,2.925
3.14,1.469,42,2.796
3.343,1.708,27,2.73
0.862,1.987,35,3.837
1.474,0.658,55,3.208
2.752,1.651,31,3.201
3.532,1.722,47,2.366
0.715,1.859,8,4.0
2.398,1.045,82,2.837
2.935,2.033,82,2.559
0.798,2.079,34,3.823
2.024,0.774,22,3.246
3.656,2.044,67,2.761
2.916,1.733,29,2.911
1.484,1.373,83,3.084
3.514,2.058,7,3.117
1.849,0.755,35,2.929
3.516,1.215,46,2.548
1.687,2.286,11,3.832
2.648,0.786,53,2.722
2.01,2.356,81,3.03
1.607,1.758,30,3.57
3.626,0.513,11,2.548
1.319,0.811,63,3.331
0.98,0.604,43,3.205
1.828,2.044,7,3.809
3.068,1.008,13,2.915
3.365,1.639,76,2.398
3.996,2.201,82,2.289
1.678,2.304,15,3.756
2.046,2.182,3,3.505
1.152,1.506,46,3.756
2.597,0.785,3,3.123
3.992,1.195,10,2.861
3.013,1.17,28,2.773
2.664,2.481,15,3.662
1.995,2.114,72,3.058
3.72,1.145,10,2.801
2.34,1.325,4,3.241
1.143,1.043,27,3.385
1.906,1.307,1,3.507
0.922,0.661,23,3.769
1.367,2.17,6,4.0
0.758,1.565,49,3.728
2.196,1.71,45,3.457
2.794,0.894,48,2.71
1.833,1.404,50,3.114
2.087,1.425,44,3.116
3.865,0.693,34,2.478
3.181,0.561,42,2.495
2.485,1.736,49,3.282
1.639,1.643,63,3.158
3.66,1.792,9,3.172
1.476,2.292,4,4.0
1.774,2.497,11,4.0
3.7,2.178,15,2.901
2.447,0.546,60,2.298
3.15,1.114,82,2.349
2.649,2.055,42,3.079
2.856,2.302,75,2.896
1.688,2.324,76,3.355
1.497,1.842,54,3.345
1.764,2.194,50,3.342
1.213,0.82,4,3.732
3.585,1.285,51,2.207
1.635,0.667,49,3.034
2.553,1.08,20,3.121
3.314,2.053,47,2.936
3.287,0.873,73,2.161
2.147,1.985,6,3.663
2.272,2.037,72,3.134
3.983,2.26,52,2.671
2.926,2.434,2,3.665
3.388,1.994,8,3.041
3.678,1.851,50,2.564
3.299,2.067,16,3.204
1.311,0.878,73,2.906
2.555,1.978,6,3.466
1.036,2.319,66,3.771
2.855,1.406,15,3.182
3.853,0.544,29,2.501
2.392,1.174,62,3.064
2.129,0.693,33,3.006
0.818,1.753,75,3.689
3.867,2.17,24,2.857
1.04,0.683,60,3.005
0.836,1.355,69,3.436
1.512,1.845,64,3.263
0.916,2.315,26,3.834
2.202,0.941,29,3.048
2.403,1.556,65,2.783
1.731,0.534,68,2.932
0.868,1.28,75,3.567
1.068,1.19,16,3.82
1.969,0.854,58,2.997
0.9,0.787,23,3.536
3.004,1.238,24,2.873
1.383,0.622,27,3.455
1.697,2.313,31,3.772
2.001,2.407,4,4.0
2.075,2.226,74,3.072
0.705,0.507,62,3.186
1.07,1.19,76,3.546
3.547,1.373,22,2.955
0.704,1.158,47,3.723
2.377,2.1,66,2.873
2.315,1.851,42,3.271
1.799,0.89,72,3.055
2.123,0.673,47,3.046
3.276,1.7,66,2.74
3.476,2.187,49,2.784
1.559,1.768,55,3.227
1.764,0.99,41,3.134
1.5,1.615,43,3.532
2.284,1.562,20,3.306
2.955,2.074,11,3.479
1.453,1.352,60,3.274
1.791,1.942,16,3.695
3.77,1.019,59,2.277
0.86,0.548,45,3.149
2.221,2.04,7,3.482
3.048,2.473,48,3.251
1.196,2.473,6,4.0
0.856,2.002,79,3.416
1.156,1.836,43,3.471
3.732,1.249,21,2.807
0.731,2.349,51,3.598
1.321,1.461,34,3.649
0.803,1.954,74,3.208
1.065,1.634,29,3.77
2.746,2.294,19,3.549
1.497,1.879,39,3.537
2.578,1.114,36,2.974
2.648,2.332,50,3.34
3.503,0.854,26,2.427
0.716,0.926,18,3.772
3.516,1.218,82,2.115
2.743,1.235,9,3.187
1.237,2.147,56,3.577
3.251,1.375,17,3.127
3.523,2.246,49,2.602
1.539,1.164,19,3.62
3.732,1.274,6,3.123
2.2,2.026,47,3.196
2.691,0.994,58,2.736
3.949,0.747,71,1.889
1.893,0.777,32,3.46
3.383,0.965,12,2.579
1.751,1.701,53,3.276
3.337,0.581,22,2.678
2.682,1.827,7,3.124
1.414,2.03,45,3.382
2.066,1.995,48,3.205
1.748,1.765,9,3.679
0.958,1.379,17,3.873
0.798,2.464,31,3.736
1.843,0.681,79,2.845
0.763,2.014,19,4.0
1.246,1.264,12,3.782
3.093,2.152,33,3.061
3.037,1.758,21,3.003
3.137,0.778,80,2.372
1.747,2.179,35,3.793
3.637,0.653,21,2.797
2.66,2.121,40,3.265
1.116,1.634,15,3.714
1.174,0.801,74,3.006
2.987,1.69,14,3.076
1.271,1.61,71,3.215
2.374,1.133,27,2.949
3.973,2.125,17,3.128
0.713,0.752,58,3.385
0.755,0.78,44,3.397
3.977,0.984,38,2.481
2.629,2.231,72,2.87
1.119,0.832,25,3.566
3.661,2.113,44,2.642
3.605,2.047,82,2.271
2.469,1.719,25,3.45
2.752,1.439,48,2.989
1.602,1.213,39,3.546
0.867,0.932,28,3.611
2.662,1.89,12,3.389
1.673,1.423,4,3.795
2.89,1.048,40,2.718
3.46,1.149,61,2.234
0.76,0.779,44,3.576
2.666,0.589,25,2.835
1.463,1.377,18,3.618
3.584,2.452,7,3.47
1.537,2.387,30,3.71
2.716,0.771,63,2.63
2.527,1.603,24,3.244
2.007,1.196,16,3.431
2.936,1.8,80,2.369
3.095,0.554,51,2.564
2.571,1.587,4,3.662
3.203,1.422,74,2.675
3.945,1.623,64,2.317
2.084,0.805,53,3.213
2.398,1.737,18,3.576
0.741,1.093,51,3.515
3.327,1.517,31,3.1
2.417,2.238,23,3.466
2.046,0.688,58,2.928
1.01,1.295,35,3.862
3.636,1.597,72,2.297
2.004,1.325,35,3.257
2.953,1.459,3,3.012
1.193,1.941,36,3.656
3.873,1.84,10,3.025
1.289,1.455,6,3.858
1.358,1.014,31,3.565
3.535,1.016,8,2.568
3.712,2.028,42,2.808
1.4,1.401,64,3.124
2.25,1.159,81,2.829
3.121,1.87,20,2.997
3.599,1.506,46,2.751
1.951,1.383,18,3.257
2.406,0.777,48,2.891
3.148,2.301,59,2.885
3.113,2.161,72,2.766
3.284,2.174,20,3.134
2.581,0.875,45,2.951
1.045,1.509,40,3.682
3.683,2.395,22,3.082
3.556,2.356,9,3.23
3.334,0.578,17,2.564
1.03,0.514,62,3.202
1.375,1.522,41,3.381
3.154,0.924,58,2.654
0.776,0.921,26,3.667
3.931,1.43,19,2.71
1.945,0.594,21,3.363
3.074,1.839,51,2.785
3.629,1.202,35,2.554
2.002,0.646,62,2.829
1.753,2.199,25,3.863
2.709,1.549,45,3.099
2.617,2.33,43,3.314
2.05,0.509,31,2.841
2.686,1.67,77,2.859
3.787,1.44,57,2.281
2.243,2.375,38,3.469
1.349,0.854,36,3.612
1.945,1.591,16,3.448
2.001,0.845,51,3.123
1.133,2.218,37,3.809
1.237,1.17,60,3.056
2.959,1.4,57,2.851
1.82,1.875,21,3.595
3.851,1.042,73,2.052
1.504,0.741,75,3.056
1.026,1.393,54,3.538
3.187,1.237,52,2.537
3.607,1.209,49,2.289
1.618,0.515,61,2.925
1.367,2.059,39,3.635
1.313,1.98,14,3.926
2.423,1.908,47,3.22
2.246,1.322,7,3.594
1.556,1.491,69,3.317
0.849,1.828,73,3.965
2.289,2.411,26,3.616
3.866,1.065,25,2.447
2.853,1.995,61,2.919
2.335,1.73,47,3.086
1.065,1.77,61,3.352
1.533,0.687,30,3.264
1.673,2.028,60,3.693
3.224,1.322,53,2.599
3.593,1.159,49,2.698
3.675,1.365,55,2.62
3.949,2.244,10,3.08
3.942,1.806,18,2.993
3.845,0.519,78,2.014
0.937,0.969,71,3.053
1.155,1.889,82,3.392
1.705,2.251,49,3.53
2.525,1.576,75,2.521
1.02,1.684,68,3.46
3.491,1.062,77,2.234
2.735,0.78,44,2.797
2.49,1.375,72,3.152
1.246,1.577,76,3.497
1.536,1.629,20,3.715
1.229,0.881,67,3.296
3.511,0.654,14,2.655
2.628,1.171,54,2.718
3.126,2.106,9,3.434
1.677,1.046,59,3.046
1.925,1.867,8,3.767
2.036,1.019,47,2.966
3.208,0.97,63,2.465
3.249,0.922,53,2.623
1.382,1.357,26,3.772
3.807,1.037,73,2.069
1.098,1.225,28,3.922
3.657,1.653,61,2.549
1.031,2.164,63,3.625
1.573,2.032,7,3.954
3.493,1.375,16,2.928
1.292,1.105,79,3.115
2.065,1.813,49,3.317
2.185,1.367,1,3.554
1.509,2.015,55,3.688
3.044,2.219,20,3.281
3.509,1.073,28,2.481
3.586,1.27,65,2.635
1.82,0.558,40,3.142
2.452,1.359,76,2.522
1.52,1.377,40,3.289
1.508,2.333,49,3.584
1.232,1.312,52,3.473
3.802,1.351,59,1.907
3.63,1.158,45,2.129
3.265,0.707,29,2.695
2.408,1.707,31,3.473
2.319,0.923,1,3.57
2.448,1.542,74,2.649
2.471,2.037,35,3.386
2.134,1.967,66,3.198
1.135,0.719,34,3.481
1.115,1.342,52,3.641
3.842,2.099,62,2.424
2.291,0.514,40,2.951
3.846,0.795,37,2.702
1.24,1.335,40,3.473
2.53,1.512,51,2.907
1.385,1.544,39,3.65
1.536,2.282,62,3.523
0.799,1.998,54,3.47
1.093,2.402,66,3.788
3.726,2.431,66,2.456
1.761,0.601,66,2.997
2.707,0.701,22,2.941
2.235,2.112,33,3.425
2.021,2.37,57,3.367
2.455,1.865,31,3.166
1.318,0.519,53,3.324
3.962,0.691,35,2.373
3.4,2.433,37,2.989
3.147,0.679,62,2.656
2.247,2.302,10,3.684
1.204,1.248,70,3.1
3.738,2.361,50,2.893
1.827,0.896,1,3.462
0.865,2.445,4,4.0
1.83,1.542,31,3.395
3.322,2.035,80,2.468
2.755,0.921,2,3.076
3.178,0.766,52,2.516
3.319,0.966,59,2.391
1.399,1.995,19,3.821
3.748,0.501,10,2.414
2.145,1.88,60,3.191
